phrase	pinyin	frequency
的	de	4828295
了	le	1500186
我	wo	1192789
是	shi	1180957
在	zai	974740
你	ni	973526
和	he	664874
有	you	613907
不	bu	590643
就	jiu	558433
也	ye	404389
都	dou	401877
要	yao	396900
吧	ba	385205
好	hao	378543
一个	yi ge	373855
他	ta	343909
说	shuo	338804
去	qu	330876
没有	mei you	325559
我们	wo men	322330
可以	ke yi	304372
到	dao	296880
什么	shen me	295404
没	mei	295036
上	shang	284919
对	dui	279643
还	hai	279643
那	na	269381
这个	zhe ge	253424
人	ren	250286
呵呵	he he	249663
现在	xian zai	246264
个	ge	245957
看	kan	245039
中	zhong	243214
呢	ne	239903
自己	zi ji	239008
来	lai	233997
吗	ma	220137
就是	jiu shi	211267
为	wei	210479
会	hui	208391
她	ta	204023
与	yu	202251
回复日期	hui fu ri qi	199249
给	gei	191937
等	deng	182605
这	zhe	178110
不是	bu shi	173509
怎么	zen me	173077
用	yong	168187
还是	hai shi	166934
把	ba	165484
下	xia	163639
恩	en	162015
能	neng	161411
很	hen	160208
他们	ta men	156265
如果	ru guo	155101
多	duo	154137
做	zuo	154137
知道	zhi dao	144466
时候	shi hou	143390
想	xiang	141791
被	bei	138128
点	dian	137956
问题	wen ti	137270
而	er	135908
后	hou	134560
一	yi	134393
又	you	132894
这样	zhe yang	131085
已经	yi jing	129784
从	cong	126905
哈哈	ha ha	121641
因为	yin wei	121338
再	zai	120735
将	jiang	119240
公司	gong si	118499
时	shi	117616
那个	na ge	117323
但	dan	115582
过	guo	111897
么	me	110511
今天	jin tian	109962
打	da	107925
工作	gong zuo	107925
中国	zhong guo	106589
大	da	106059
但是	dan shi	105663
年	nian	105269
不过	bu guo	103577
啦	la	102550
地	di	101786
可能	ke neng	100902
以	yi	100400
买	mai	100275
里	li	98051
让	rang	97929
应该	ying gai	97685
所以	suo yi	95995
你们	ni men	95399
一下	yi xia	94335
时间	shi jian	92935
小	xiao	92013
都是	dou shi	91784
着	zhe	87757
还有	hai you	86132
进行	jin xing	84537
先	xian	84327
觉得	jue de	83908
啊	a	83803
或	huo	83282
需要	xu yao	82765
不能	bu neng	80728
呀	ya	79233
并	bing	79036
开始	kai shi	78154
找	zhao	78057
新	xin	77283
及	ji	77186
东西	dong xi	77090
那么	na me	76230
得	de	75568
跟	gen	74632
这么	zhe me	74447
于	yu	73708
喜欢	xi huan	72705
比较	bi jiao	72343
太	tai	71181
嘛	ma	70739
号	hao	70299
日	ri	70124
才	cai	69950
然后	ran hou	69602
发	fa	69515
一些	yi xie	69429
可	ke	68911
不会	bu hui	68740
比	bi	68654
大家	da jia	67804
玩	wan	67131
很多	hen duo	66548
们	men	65806
最	zui	65806
